hotspot_name,hotspot_type,violations,avg_severity,avg_vehicle_impact,recurrence_days,latitude,longitude
1 12TH MAIN ROAD SECTOR 6 HSR LAYOUT BENGALURU SOUTH CITY CORPORATION BENGALURU BANGALORE SOUTH BENGALURU URBAN KARNATAKA 560102 INDIA,ROAD_SEGMENT,1,1.0,1.0,1,12.9155549,77.6368993
1 14TH MAIN ROAD SECTOR 7 HSR LAYOUT BENGALURU SOUTH CITY CORPORATION BENGALURU BANGALORE SOUTH BENGALURU URBAN KARNATAKA 560102 INDIA,ROAD_SEGMENT,6,2.0,1.0,1,12.912079999999998,77.638002
1 7TH C CROSS ROAD MAISTRIPALAYA KORMANGALA EAST BENGALURU SOUTH CITY CORPORATION BENGALURU BANGALORE SOUTH BENGALURU URBAN KARNATAKA 560034 INDIA,ROAD_SEGMENT,1,2.0,3.0,1,12.9326237,77.623365
100 FEET ROAD 3RD BLOCK SIR MV LAYOUT BENGALURU WEST CITY CORPORATION BENGALURU BANGALORE NORTH BENGALURU URBAN KARNATAKA 560056 INDIA,ROAD_SEGMENT,1,5.0,4.0,1,12.9515169,77.4774966
100 FEET ROAD 4TH BLOCK SIR MV LAYOUT BENGALURU WEST CITY CORPORATION BENGALURU BANGALORE NORTH BENGALURU URBAN KARNATAKA 560110 INDIA,ROAD_SEGMENT,1,2.0,1.0,1,12.9515218,77.4773146
100 FEET ROAD ANOTHER SKY BY LIVING WALLS ASHIRWAD COLONY HORAMAVU BENGALURU KARNATAKA PIN560043 INDIA,ROAD_SEGMENT,1,2.0,1.0,1,13.0190763,77.6557568
100 FEET ROAD BM SRI CIRCLE INDIRANAGAR BENGALURU KARNATAKA PIN560038 INDIA,ROAD_SEGMENT,11,1.8181818181818181,1.3636363636363635,5,12.977762437337429,77.64082173656305
100 FEET ROAD DSR SUNSHINE T KRISHNA REDDY LAYOUT BANASWADI BENGALURU KARNATAKA PIN560043 INDIA,ROAD_SEGMENT,1,1.0,1.0,1,13.0182702,77.6540618
100 FEET ROAD FTI QUARTERS YESHWANTHPUR SUBURB STAGE 2 YESHWANTHPUR BENGALURU KARNATAKA PIN560022 INDIA,ROAD_SEGMENT,1,1.0,1.0,1,13.0222566,77.5329141
100 FEET ROAD GOPAL REDDY LAYOUT BANASWADI BENGALURU KARNATAKA PIN560043 INDIA,ROAD_SEGMENT,5,1.0,1.8,5,13.01815446,77.65399894
100 FEET ROAD HRBR LAYOUT 1ST BLOCK BANASWADI BENGALURU NORTH CITY CORPORATION BENGALURU BANGALORE EAST BENGALURU URBAN KARNATAKA 560043 INDIA,ROAD_SEGMENT,1,1.0,1.0,1,13.0181635,77.6540082
100 FEET ROAD INDIRANAGAR BENGALURU CENTRAL CITY CORPORATION BENGALURU BANGALORE EAST BENGALURU URBAN KARNATAKA 560008 INDIA,ROAD_SEGMENT,1,5.0,3.0,1,12.970415,77.6412514
100 FEET ROAD J MUNISWAMY REDDY LAYOUT BANASWADI BENGALURU KARNATAKA PIN560043 INDIA,ROAD_SEGMENT,1,5.0,5.0,1,13.014871,77.6496273
100 FEET ROAD JALAHALLI CROSS JUNCTION PEENYA BENGALURU KARNATAKA PIN560058 INDIA,ROAD_SEGMENT,5,1.4,2.2,4,13.039758353333331,77.51819908666667
100 FEET ROAD JALAHALLI CROSS T DASARAHALLI BENGALURU KARNATAKA PIN560057 INDIA,ROAD_SEGMENT,21,4.190476190476191,3.0952380952380953,3,13.0383905,77.51818905714285
100 FEET ROAD KANTEERAVA STUDIO CIRCLE BENGALURU KARNATAKA PIN560096 INDIA,ROAD_SEGMENT,10,1.9,2.8,8,13.021109319999999,77.52845081000001
100 FEET ROAD KEMPAMMA BADAVANE NANDINI LAYOUT BENGALURU KARNATAKA PIN560096 INDIA,ROAD_SEGMENT,1,2.0,3.0,1,13.0224075,77.5238951
100 FEET ROAD KFC CIRCLE INDIRANAGAR BENGALURU KARNATAKA PIN560038 INDIA,ROAD_SEGMENT,5,1.4,2.2,3,12.978412019999999,77.64028578
100 FEET ROAD NEW BINNAMANGLA INDIRANAGAR BENGALURU KARNATAKA PIN560038 INDIA,ROAD_SEGMENT,19,3.5789473684210527,2.210526315789474,10,12.982778168056035,77.64033097905822
100 FEET ROAD PEDDANNA REDDY LAYOUT ASHIRWAD COLONY HORAMAVU BENGALURU KARNATAKA PIN560043 INDIA,ROAD_SEGMENT,3,1.6666666666666667,1.6666666666666667,3,13.018956051724262,77.65544265260388
100 FEET ROAD PEENYA BENGALURU KARNATAKA PIN560058 INDIA,ROAD_SEGMENT,3,3.3333333333333335,2.3333333333333335,2,13.026546988888889,77.52070647777778
100 FEET ROAD SBM CIRCLE PEENYA BENGALURU KARNATAKA PIN560058 INDIA,ROAD_SEGMENT,3,2.6666666666666665,5.0,3,13.025363733333334,77.52095456666667
100 FEET ROAD SRI KRISHNAPPA LAYOUT INDIRANAGAR BENGALURU KARNATAKA PIN560038 INDIA,ROAD_SEGMENT,21,3.1904761904761907,1.7619047619047619,5,12.979050573879622,77.64085436095377
100 FEET ROAD STAGE 1 INDIRANAGAR BENGALURU KARNATAKA PIN560038 INDIA,ROAD_SEGMENT,37,4.216216216216216,2.324324324324324,11,12.980924577009002,77.64091874736967
100 FEET ROAD TVS CROSS PEENYA BENGALURU KARNATAKA PIN560058 INDIA,ROAD_SEGMENT,10,4.6,3.2,2,13.02787933,77.52005333
100 FEET ROAD VIVEKANAND NAGAR PEENYA BENGALURU KARNATAKA PIN560058 INDIA,ROAD_SEGMENT,13,1.7692307692307692,3.6153846153846154,5,13.039475869230769,77.51846211538461
100 FEET ROAD VK RAMANNA BLOCK NANDINI LAYOUT BENGALURU KARNATAKA PIN560096 INDIA,ROAD_SEGMENT,7,3.5714285714285716,2.2857142857142856,7,13.02167682857143,77.53153294285714
101 17TH CROSS ROAD SECTOR 6 HSR LAYOUT BENGALURU SOUTH CITY CORPORATION BENGALURU BANGALORE SOUTH BENGALURU URBAN KARNATAKA 560102 INDIA,ROAD_SEGMENT,1,1.0,1.0,1,12.9123274,77.6361183
101A 17TH CROSS ROAD SECTOR 6 HSR LAYOUT BENGALURU SOUTH CITY CORPORATION BENGALURU BANGALORE SOUTH BENGALURU URBAN KARNATAKA 560102 INDIA,ROAD_SEGMENT,4,2.0,1.5,2,12.9123397,77.63597192499999
1075 12TH MAIN ROAD MOTAPPANAPALYA INDIRANAGAR JOGPALYA BENGALURU CENTRAL CITY CORPORATION BENGALURU BANGALORE NORTH BENGALURU URBAN KARNATAKA 560008 INDIA,ROAD_SEGMENT,1,1.0,3.0,1,12.9699024,77.6373941
1082 12TH MAIN ROAD MOTAPPANAPALYA INDIRANAGAR JOGPALYA BENGALURU CENTRAL CITY CORPORATION BENGALURU BANGALORE NORTH BENGALURU URBAN KARNATAKA 560008 INDIA,ROAD_SEGMENT,1,1.0,3.0,1,12.9701183,77.6387
10TH A CROSS ROAD ALPINE ECO APARTMENT DODDANEKUNDI BENGALURU KARNATAKA PIN560037 INDIA,ROAD_SEGMENT,1,2.0,1.0,1,12.972605573025506,77.70044993616426
10TH A MAIN ROAD ASHOKA STAMBH CIRCLE JAYANAGAR EAST BENGALURU KARNATAKA PIN560011 INDIA,ROAD_SEGMENT,1,2.0,5.0,1,12.9428517,77.58605
10TH A MAIN ROAD BLOCK C KP AGRAHARA BENGALURU KARNATAKA PIN560023 INDIA,ROAD_SEGMENT,4,1.0,1.0,1,12.975557975000001,77.558469
10TH A MAIN ROAD MALLESHWARAM WEST BENGALURU KARNATAKA PIN560055 INDIA,ROAD_SEGMENT,1,5.0,1.0,1,13.0088912,77.562965
10TH A MAIN ROAD SHRI SATYA SAI CIRCLE JAYANAGAR BENGALURU KARNATAKA PIN560041 INDIA,ROAD_SEGMENT,1,1.0,3.0,1,12.9218508,77.5853739
10TH B MAIN ROAD FREEDOM FIGHTERS COLONY LAGGERE BENGALURU KARNATAKA PIN560058 INDIA,ROAD_SEGMENT,4,2.0,2.75,3,13.006674525,77.5263909
10TH B MAIN ROAD MALLESHWAR LAYOUT LAGGERE BENGALURU KARNATAKA PIN560058 INDIA,ROAD_SEGMENT,1,5.0,3.0,1,13.0078967,77.5259683
10TH B MAIN ROAD MUNISWARA LAYOUT LAGGERE BENGALURU KARNATAKA PIN560058 INDIA,ROAD_SEGMENT,6,4.5,3.6666666666666665,4,13.007659316666667,77.526019
10TH C MAIN ROAD SIDDAPURA CIRCLE MAVALLI BENGALURU KARNATAKA PIN560004 INDIA,ROAD_SEGMENT,21,1.0,1.5714285714285714,4,12.945712104761904,77.58718787142857
10TH CROSS ROAD ACHARYA SRI RAMANUJA CIRCLE MALLESHWARAM BENGALURU KARNATAKA PIN560003 INDIA,ROAD_SEGMENT,29,1.6551724137931034,2.2758620689655173,20,13.001013179310345,77.57131211724138
10TH CROSS ROAD AHMED NAGAR CHANDRA LAYOUT STAGE 1 BENGALURU KARNATAKA PIN560039 INDIA,ROAD_SEGMENT,4,2.75,5.0,3,12.949550775,77.523530775
10TH CROSS ROAD ANNAYAPPA COLONY HAL STAGE 3 NEW THIPPASANDRA BENGALURU KARNATAKA PIN560075 INDIA,ROAD_SEGMENT,3,1.0,1.0,2,12.9720019,77.65393533333334
10TH CROSS ROAD BLOCK E SAHAKARA NAGAR BENGALURU KARNATAKA PIN560092 INDIA,ROAD_SEGMENT,3,2.0,3.0,2,13.0599939,77.5902784
10TH CROSS ROAD BRIGADE SENATE 1 HEBBAL BENGALURU KARNATAKA PIN560024 INDIA,ROAD_SEGMENT,5,2.0,3.0,2,13.04773428,77.57918645999999
10TH CROSS ROAD FAST PRINT JUNCTION BASAVANAGUDI BENGALURU KARNATAKA PIN560004 INDIA,ROAD_SEGMENT,1,2.0,3.0,1,12.9365483,77.5685775
10TH CROSS ROAD FREEDOM FIGHTERS COLONY LAGGERE BENGALURU KARNATAKA PIN560058 INDIA,ROAD_SEGMENT,1,1.0,3.0,1,13.00694,77.5277417
10TH CROSS ROAD GANAPATHINAGAR SAHAKARA NAGAR BENGALURU KARNATAKA PIN560092 INDIA,ROAD_SEGMENT,4,1.75,3.0,3,13.064893025,77.5892559
10TH CROSS ROAD HEMANT NAGAR MARATHAHALLI BENGALURU KARNATAKA PIN560037 INDIA,ROAD_SEGMENT,2,1.0,2.0,2,12.959546549999999,77.70173804999999
10TH CROSS ROAD HOSHALLI PADARAYANAPURA BENGALURU KARNATAKA PIN560026 INDIA,ROAD_SEGMENT,1,2.0,2.0,1,12.964185,77.5500042
10TH CROSS ROAD KADUMALLESHWARA MALLESHWARAM BENGALURU KARNATAKA PIN560003 INDIA,ROAD_SEGMENT,5,1.8,2.8,2,13.000994600000002,77.57032884
10TH CROSS ROAD KEMPEGOWDA LAYOUT LAGGERE BENGALURU KARNATAKA PIN560058 INDIA,ROAD_SEGMENT,1,5.0,3.0,1,12.9989767,77.525095
10TH CROSS ROAD KK LAYOUT NAGARBHAVI STAGE 2 BENGALURU KARNATAKA PIN560072 INDIA,ROAD_SEGMENT,1,5.0,3.0,1,12.969214,77.5060281
10TH CROSS ROAD LIC COLONY JUNCTION JAYANAGAR EAST BENGALURU KARNATAKA PIN560011 INDIA,ROAD_SEGMENT,26,2.0,1.0769230769230769,4,12.931556965384617,77.59251098461539
10TH CROSS ROAD RAMANJANEYA LAYOUT MARATHAHALLI BENGALURU KARNATAKA PIN560037 INDIA,ROAD_SEGMENT,3,1.0,3.3333333333333335,3,12.959489733333333,77.70170223333334
10TH CROSS ROAD RAMESH BABU CIRCLE VIJAYA NAGAR STAGE 2 BENGALURU KARNATAKA PIN560104 INDIA,ROAD_SEGMENT,3,1.0,1.3333333333333333,1,12.9645383,77.5416683
10TH CROSS ROAD SECTOR 1 HSR LAYOUT BENGALURU KARNATAKA PIN560102 INDIA,ROAD_SEGMENT,7,1.1428571428571428,2.142857142857143,7,12.918054357142859,77.65185314285714
10TH CROSS ROAD SJR BROOKLYN APARTMENT KUNDALHALLI BENGALURU KARNATAKA PIN560037 INDIA,ROAD_SEGMENT,6,2.3333333333333335,3.0,3,12.971535433333335,77.71181003333334
10TH CROSS ROAD TEMPLE TREE BOMMANAHALLI BENGALURU KARNATAKA PIN560068 INDIA,ROAD_SEGMENT,1,1.0,2.0,1,12.9037545,77.6264576
10TH CROSS ROAD VENUGOPALA LAYOUT VIDYARANYAPURA BENGALURU KARNATAKA PIN560097 INDIA,ROAD_SEGMENT,3,2.0,1.0,1,13.082735,77.5604633
10TH CROSS ROAD WHISPERING MEADOWS DOLLARS COLONY RMV STAGE 2 BENGALURU KARNATAKA PIN560094 INDIA,ROAD_SEGMENT,13,1.8461538461538463,2.4615384615384617,5,13.047513561538462,77.57217366153847
