hotspot_name,hotspot_type,violations,avg_severity,avg_vehicle_impact,recurrence_days,latitude,longitude,violations_log,violations_norm,severity_norm,vehicle_norm,recurrence_norm,risk_score,rank,priority,recommendation
BTP051 - Safina Plaza Junction,JUNCTION,12006,1.6565883724804265,1.803015159087123,151,12.98121969546266,77.60867617618138,9.393245092030718,100.0,16.41470931201066,25.507540347473327,99.33333333333336,87.88351461524141,1,CRITICAL,Immediate enforcement deployment required
BTP082 - KR Market Junction,JUNCTION,9671,1.9329955537172991,1.7556612552993485,152,12.964437860605605,77.57722211156873,9.176990392294629,96.04032062822816,23.324888842932477,24.003357521273422,100.0,85.36491326293945,2,CRITICAL,Immediate enforcement deployment required
BTP044 - Sagar Theatre Junction,JUNCTION,9056,1.589553886925795,1.977583922261484,152,12.974972496140078,77.57889505393308,9.111293218374948,94.83738841602221,14.738847173144876,31.05266576595302,100.0,83.89642873842992,3,CRITICAL,Immediate enforcement deployment required
BTP040 - Elite Junction,JUNCTION,9385,1.4800213106020246,1.6821523708044752,152,12.97661919752797,77.57660675052745,9.146974496354362,95.49072182586701,12.000532765050615,21.66836942555392,100.0,83.67604920847637,4,CRITICAL,Immediate enforcement deployment required
BTP058 - Subbanna Junction,JUNCTION,4519,1.402301394113742,2.5523345872980747,150,12.978989202705202,77.57866663408272,8.416267272826277,82.11128395311869,10.057534852843553,49.30945159652708,98.66666666666667,74.093586560939,5,CRITICAL,Immediate enforcement deployment required
BTP211 - Central Street Junction,JUNCTION,4170,1.7870503597122305,2.0083932853717026,148,12.983323471178782,77.60346360896185,8.335911094196945,80.63994158090073,19.676258992805764,32.031316123571735,97.33333333333334,72.94781163684642,6,CRITICAL,Immediate enforcement deployment required
UNNAMED ROAD BEGUR CHIKKANAHALLI BENGALURU KARNATAKA PIN562149 INDIA,ROAD_SEGMENT,3473,2.081485747192629,2.670601785200115,147,13.185738118341492,77.6800503473366,8.153061946801051,77.29192649510992,27.037143679815724,53.06617435341543,96.66666666666669,72.02389761507361,7,CRITICAL,Immediate enforcement deployment required
BTP027 - Modi Bridge Junction,JUNCTION,3790,1.7569920844327176,1.467018469656992,146,12.998890773481468,77.54941276508485,8.240385115516334,78.89083625411921,18.92480211081794,14.834704330280923,96.00000000000001,70.5468844308912,8,CRITICAL,Immediate enforcement deployment required
BTP057 - Anand Rao Junction,JUNCTION,3312,1.88737922705314,2.4145531400966185,148,12.97939246838768,77.57440532578502,8.105609402299896,76.42305815685593,22.184480676328498,44.93286445012789,97.33333333333334,70.47020448229065,9,CRITICAL,Immediate enforcement deployment required
"BTP080 - NR Road, SP Road Junction",JUNCTION,3024,1.724537037037037,1.8253968253968251,145,12.964382455569687,77.5832034382154,8.014666370464942,74.75786776976739,18.113425925925924,26.21848739495797,95.33333333333334,67.69522784482108,10,CRITICAL,Immediate enforcement deployment required
MBT ROAD DEVASANDRA JUNCTION KR PURAM BENGALURU KARNATAKA PIN560036 INDIA,ROAD_SEGMENT,2525,2.5326732673267327,2.0257425742574258,150,13.008258544659729,77.69511018769676,7.8343923029104365,71.45700306055127,38.31683168316832,32.582411182294706,98.66666666666667,67.55973950920593,11,CRITICAL,Immediate enforcement deployment required
NEW HORIZON COLLEGE ROAD NEW HORIZON COLLEGE OF ENGINEERING KADUBISANAHALLI BENGALURU KARNATAKA PIN560103 INDIA,ROAD_SEGMENT,3119,2.2504007694773964,1.1468419365181148,95,12.933799512816613,77.69090789912138,8.045588280803528,75.32405592962195,31.26001923693491,4.664390924693063,62.000000000000014,66.7184662136257,12,CRITICAL,Immediate enforcement deployment required
BTP045 - Danvanthri Road Junction,JUNCTION,2605,1.8111324376199616,2.128214971209213,149,12.977075850134357,77.57476438395393,7.8655717576847906,72.02790692550205,20.27831094049904,35.83741673252794,98.00000000000001,66.34202747107796,13,CRITICAL,Immediate enforcement deployment required
"BTP083 - AS Char Street, Mysore Road",JUNCTION,2319,2.263906856403622,2.523932729624838,140,12.966453430470342,77.57438613418712,7.749322464660356,69.89935236398885,31.597671410090555,48.407274941024276,92.0,66.09961277925136,14,CRITICAL,Immediate enforcement deployment required
BTP020 - Hosahalli Metro Station,JUNCTION,3136,1.6036352040816326,1.1253188775510203,121,12.974214090656886,77.54529837088647,8.051022208190679,75.42355254268452,15.090880102040815,3.9807172869147642,79.33333333333334,66.0136325753641,15,CRITICAL,Immediate enforcement deployment required
"BTP001 - 10th Cross, Dr. Rajkumar Road",JUNCTION,2464,1.6392045454545454,2.346590909090909,141,13.007779907408109,77.55463999297899,7.80994708647679,71.00940483785863,15.980113636363635,42.774064171123,92.66666666666667,65.17757177581275,16,CRITICAL,Immediate enforcement deployment required
BELLARY ROAD VINAYAKA NAGAR HEBBAL BENGALURU KARNATAKA PIN560024 INDIA,ROAD_SEGMENT,2405,1.2432432432432432,1.5363825363825363,141,13.035339403259773,77.58902624387916,7.785720896534624,70.56581704676002,6.08108108108108,17.03803350862174,92.66666666666667,62.545996754280544,17,CRITICAL,Immediate enforcement deployment required
BTP032 - Windsor Circle,JUNCTION,2271,1.750330250990753,1.3619550858652576,106,12.993098903718918,77.58823304418353,7.7284157798410416,69.51654556851945,18.758256274768826,11.497396845131714,69.33333333333334,61.5305985912157,18,CRITICAL,Immediate enforcement deployment required
"BTP016 - 5th Main Road, RPC Layout",JUNCTION,1862,1.911385606874329,1.7040816326530612,104,12.965271313031003,77.53778991937591,7.529943370601589,65.88246452570097,22.78464017185822,22.364945978391354,68.0,59.50268293666617,19,CRITICAL,Immediate enforcement deployment required
NEW HORIZON COLLEGE ROAD EMBASSY TECH VILLAGE DEVARA BEESANA HALLI BENGALURU KARNATAKA PIN560103 INDIA,ROAD_SEGMENT,2076,1.9865125240847783,1.2336223506743738,70,12.932974482660663,77.69130301582004,7.638679823876112,67.87345705218112,24.662813102119458,7.4209452567154,45.333333333333336,59.40276088145929,20,CRITICAL,Immediate enforcement deployment required
BTP038 - Mysore Bank Junction,JUNCTION,1659,1.7136829415310428,2.1392405063291138,138,12.9734831854129,77.58128349849306,7.414572881350589,63.77000108811597,17.842073538276072,36.187639612807146,90.66666666666667,59.14292353829407,21,CRITICAL,Immediate enforcement deployment required
80 FEET RING ROAD ORION BRIGADE GATEWAY MALLESHWARAM WEST BENGALURU KARNATAKA PIN560055 INDIA,ROAD_SEGMENT,1773,1.617033276931754,1.7834179357021998,133,13.011473322391428,77.55447886373379,7.480992162869525,64.98615527685449,15.425831923293847,24.885040310540468,87.33333333333334,59.142426096006666,22,CRITICAL,Immediate enforcement deployment required
BTP023 - Mahalaxmi Layout Entrance,JUNCTION,1569,1.808795411089866,1.9891650732950923,135,13.008970865555847,77.54919375712251,7.358830898342354,62.749350991129745,20.219885277246654,31.420537622314697,88.66666666666667,58.22582953507753,23,CRITICAL,Immediate enforcement deployment required
BTP042 - Minsk Square Junction (CTO),JUNCTION,1814,1.6477398015435505,1.1278941565600882,111,12.981155121389197,77.59844629520397,7.503840746698951,65.4045187444415,16.19349503858876,4.062520267202801,72.66666666666669,57.77942384610556,24,CRITICAL,Immediate enforcement deployment required
BTP108 - Tagore Park Junction,JUNCTION,1532,1.7715404699738904,1.6031331592689295,139,12.943920381829178,77.57145562370971,7.334981878871814,62.312669288721764,19.288511749347258,19.15834741207188,91.33333333333334,57.30357064318241,25,CRITICAL,Immediate enforcement deployment required
